증권사,일자,티커,종목명,통화,배당금
한화투자증권,2026-08-04,458730,TIGER 미국배당다우존스,KRW,4551.0
한화투자증권,2026-08-04,360750,TIGER 미국S&P500,KRW,9570.0
한화투자증권,2026-07-02,458730,TIGER 미국배당다우존스,KRW,5535.0
한화투자증권,2026-06-02,458730,TIGER 미국배당다우존스,KRW,4428.0
한화투자증권,2026-05-06,458730,TIGER 미국배당다우존스,KRW,4059.0
한화투자증권,2026-05-06,360750,TIGER 미국S&P500,KRW,8990.0
한화투자증권,2026-04-02,458730,TIGER 미국배당다우존스,KRW,4428.0
한화투자증권,2026-03-04,458730,TIGER 미국배당다우존스,KRW,4674.0
한화투자증권,2026-02-03,458730,TIGER 미국배당다우존스,KRW,3936.0
한화투자증권,2026-02-03,360750,TIGER 미국S&P500,KRW,9425.0
한화투자증권,2026-01-05,458730,TIGER 미국배당다우존스,KRW,4920.0
한화투자증권,2025-12-02,458730,TIGER 미국배당다우존스,KRW,4674.0
한화투자증권,2025-11-04,458730,TIGER 미국배당다우존스,KRW,3690.0
한화투자증권,2025-11-04,360750,TIGER 미국S&P500,KRW,2940.0
한화투자증권,2025-10-02,458730,TIGER 미국배당다우존스,KRW,4674.0
한화투자증권,2025-09-02,458730,TIGER 미국배당다우존스,KRW,4305.0
한화투자증권,2025-08-04,458730,TIGER 미국배당다우존스,KRW,3690.0
한화투자증권,2025-08-04,360750,TIGER 미국S&P500,KRW,2842.0
한화투자증권,2026-08-14,AAPL,애플,USD,2.16
한화투자증권,2026-05-15,AAPL,애플,USD,2.16
한화투자증권,2026-02-13,AAPL,애플,USD,2.08
한화투자증권,2025-11-14,AAPL,애플,USD,2.08
한화투자증권,2025-08-20,005930,삼성전자,KRW,1101.0
한화투자증권,2025-08-18,AAPL,애플,USD,2.08
한화투자증권,2025-05-20,005930,삼성전자,KRW,1095.0
한화투자증권,2025-05-16,AAPL,애플,USD,2.08
한화투자증권,2025-04-18,005930,삼성전자,KRW,1089.0
한화투자증권,2025-02-17,AAPL,애플,USD,2.0
한화투자증권,2024-11-20,005930,삼성전자,KRW,1083.0
한화투자증권,2024-11-15,AAPL,애플,USD,2.0
한화투자증권,2024-08-20,005930,삼성전자,KRW,1083.0
한화투자증권,2024-08-16,AAPL,애플,USD,2.0
한화투자증권,2024-05-20,005930,삼성전자,KRW,1083.0
한화투자증권,2024-05-17,AAPL,애플,USD,2.0
한화투자증권,2024-04-19,005930,삼성전자,KRW,1083.0
한화투자증권,2023-11-20,005930,삼성전자,KRW,1083.0
한화투자증권,2023-08-16,005930,삼성전자,KRW,1083.0
한화투자증권,2023-05-17,005930,삼성전자,KRW,1083.0
한화투자증권,2023-04-14,005930,삼성전자,KRW,1083.0
한화투자증권,2023-02-17,AAPL,애플,USD,5.75
한화투자증권,2022-11-15,005930,삼성전자,KRW,1083.0
한화투자증권,2022-11-11,AAPL,애플,USD,5.75
한화투자증권,2022-08-16,005930,삼성전자,KRW,1083.0
한화투자증권,2022-08-12,AAPL,애플,USD,5.75
한화투자증권,2022-05-17,005930,삼성전자,KRW,1083.0
한화투자증권,2022-05-13,AAPL,애플,USD,5.75
한화투자증권,2022-04-15,005930,삼성전자,KRW,1083.0
한화투자증권,2022-02-11,AAPL,애플,USD,5.5
한화투자증권,2021-11-17,005930,삼성전자,KRW,1083.0
한화투자증권,2021-11-15,AAPL,애플,USD,5.5
한화투자증권,2021-08-18,005930,삼성전자,KRW,1083.0
한화투자증권,2021-08-13,AAPL,애플,USD,0.44
한화투자증권,2021-05-14,AAPL,애플,USD,0.44
한화투자증권,2026-07-02,KO,코카콜라,USD,9.46
한화투자증권,2026-06-29,NVDA,엔비디아,USD,0.64
한화투자증권,2026-04-02,KO,코카콜라,USD,9.46
한화투자증권,2026-04-02,NVDA,엔비디아,USD,0.03
한화투자증권,2025-12-26,NVDA,엔비디아,USD,0.03
토스증권,,MSTY,MSTY,USD,626.78
