증권사,일자,티커,종목명,시장,구분,수량,단가,통화
한화투자증권,2026-01-28,360750,TIGER 미국S&P500,KOSPI,매수,96,24730.0,KRW
한화투자증권,2026-01-21,000270,기아,KOSPI,매도,14,168300.0,KRW
한화투자증권,2025-07-16,458730,TIGER 미국배당다우존스,KOSPI,매수,123,11990.0,KRW
한화투자증권,2025-07-16,000270,기아,KOSPI,매수,14,103100.0,KRW
한화투자증권,2025-06-09,360750,TIGER 미국S&P500,KOSPI,매수,49,20375.0,KRW
한화투자증권,2026-07-09,005930,삼성전자,KOSPI,매수,7,292000.0,KRW
한화투자증권,2026-07-09,000660,SK하이닉스,KOSPI,매수,1,2159000.0,KRW
한화투자증권,2026-06-30,000660,SK하이닉스,KOSPI,매수,1,2689000.0,KRW
한화투자증권,2026-06-25,005930,삼성전자,KOSPI,매수,3,315500.0,KRW
한화투자증권,2026-06-25,005930,삼성전자,KOSPI,매수,3,311000.0,KRW
한화투자증권,2025-12-16,KO,코카콜라,US,매수,21,69.39,USD
한화투자증권,2025-10-17,NVDA,엔비디아,US,매수,2,180.835,USD
한화투자증권,2025-10-16,NVDA,엔비디아,US,매수,1,185.56,USD
한화투자증권,2025-09-18,005930,삼성전자,KOSPI,매도,3,78400.0,KRW
한화투자증권,2024-02-23,AAPL,애플,US,매수,8,180.48,USD
한화투자증권,2024-02-13,META,메타 플랫폼스(페이스북),US,매도,3,469.6,USD
한화투자증권,2024-01-31,TSLA,테슬라,US,매수,8,185.11,USD
한화투자증권,2023-06-01,TSLA,테슬라,US,매수,4,191.31,USD
한화투자증권,2023-04-28,AAPL,애플,US,매도,25,165.24,USD
한화투자증권,2022-04-01,FB,메타 플랫폼스(페이스북),US,매수,3,227.83,USD
한화투자증권,2022-03-29,AAPL,애플,US,매도,5,172.24,USD
한화투자증권,2022-03-02,AAPL,애플,US,매수,5,157.78,USD
한화투자증권,2021-11-04,AAPL,애플,US,매수,21,149.32,USD
한화투자증권,2021-09-23,AAPL,애플,US,매수,1,147.68,USD
한화투자증권,2021-09-23,AAPL,애플,US,매수,1,147.86,USD
한화투자증권,2021-09-16,289220,자이언트스텝,KOSDAQ,매도,4,70900.0,KRW
한화투자증권,2021-07-22,289220,자이언트스텝,KOSDAQ,매수,4,110500.0,KRW
한화투자증권,2021-07-20,047080,한빛소프트,KOSDAQ,매도,41,7160.0,KRW
한화투자증권,2021-07-08,047080,한빛소프트,KOSDAQ,매수,19,7380.0,KRW
한화투자증권,2021-07-08,340930,유일에너테크,KOSDAQ,매도,7,20150.0,KRW
한화투자증권,2021-07-01,047080,한빛소프트,KOSDAQ,매수,15,7080.0,KRW
한화투자증권,2021-05-28,340930,유일에너테크,KOSDAQ,매수,7,18250.0,KRW
한화투자증권,2021-05-18,005930,삼성전자,KOSPI,매수,2,80100.0,KRW
한화투자증권,2021-05-17,005930,삼성전자,KOSPI,매수,1,78900.0,KRW
한화투자증권,2021-04-08,AAPL,애플,US,매수,2,123.3,USD
한화투자증권,2021-04-02,047080,한빛소프트,KOSDAQ,매수,7,6350.0,KRW
